Employee ID,Current Job Role,Department,Monthly Income,Skills,Education Level,Certifications,Promotion Last 3 Years,Job Performance Rating,Preferred Job Role
E1000,Analyst,IT,10913,"Python, SQL, Cloud, Leadership, Java",Bachelor's,"Scrum Master, Google Cloud Certified, PMP",3,3,Architect
E1001,Consultant,HR,7998,"Leadership, Python, Java, Excel",High School,AWS Certified,1,5,Architect
E1002,Developer,Sales,3298,"Project Management, SQL, Java",Bachelor's,"ITIL, Google Cloud Certified",1,2,Director
E1003,Analyst,Marketing,8151,"Java, Leadership, Python",Bachelor's,"Google Cloud Certified, AWS Certified, Scrum Master",1,1,Consultant
E1004,Manager,Finance,9758,"Leadership, Java, SQL",PhD,AWS Certified,2,5,Director
E1005,Developer,Marketing,7931,"Python, Excel",High School,Scrum Master,0,3,Director
E1006,Manager,Operations,12130,"Project Management, Java, SQL, Leadership",PhD,Google Cloud Certified,1,1,Consultant
E1007,Analyst,HR,4739,"Python, Excel",Bachelor's,"AWS Certified, PMP",1,2,Team Lead
E1008,Consultant,HR,9583,"Project Management, SQL, Excel, Java",Bachelor's,"Scrum Master, AWS Certified",3,3,Architect
E1009,Specialist,Operations,6718,"SQL, Excel, Cloud, Python",High School,ITIL,2,2,Team Lead
E1010,Specialist,IT,5789,"Python, Java, Leadership, Excel",High School,Google Cloud Certified,0,5,Director
E1011,Manager,IT,12655,"Project Management, Leadership, Cloud, Python, SQL",PhD,"Google Cloud Certified, PMP, Scrum Master",3,2,Senior Manager
E1012,Developer,Finance,5093,"Python, Leadership",High School,"Scrum Master, PMP, AWS Certified",3,2,Consultant
E1013,Analyst,IT,4750,"SQL, Python, Java, Leadership",High School,"Google Cloud Certified, Scrum Master",3,2,Director
E1014,Manager,IT,3111,"Cloud, Excel, Java, SQL, Leadership",Master's,"ITIL, AWS Certified, Scrum Master",1,3,Senior Manager
E1015,Developer,Operations,12447,"Cloud, Leadership, Python",Master's,"PMP, ITIL, AWS Certified",0,1,Architect
E1016,Developer,Operations,7954,"Leadership, Excel, Cloud, Project Management, Java",Master's,"ITIL, Scrum Master, Google Cloud Certified",0,3,Senior Manager
E1017,Manager,Finance,10396,"SQL, Python, Cloud, Project Management",Master's,AWS Certified,0,3,Senior Manager
E1018,Manager,Finance,6794,"Project Management, Cloud, Java, Leadership, Excel",Master's,"Scrum Master, Google Cloud Certified, ITIL",2,5,Director
E1019,Consultant,Sales,8655,"Excel, Leadership",High School,Scrum Master,1,3,Team Lead
E1020,Specialist,Finance,11889,"Leadership, Java",High School,"ITIL, PMP",3,2,Senior Manager
E1021,Developer,Marketing,9003,"SQL, Java, Excel, Project Management, Leadership",Master's,"ITIL, Scrum Master",1,3,Director
E1022,Consultant,Operations,10747,"Leadership, Project Management, Excel",Master's,Scrum Master,1,5,Consultant
E1023,Manager,Operations,7646,"Python, Cloud, Leadership, Project Management, Excel",Master's,"AWS Certified, Google Cloud Certified, Scrum Master",3,2,Team Lead
E1024,Specialist,HR,12235,"Java, Leadership",Master's,"Google Cloud Certified, AWS Certified, PMP",1,5,Director
E1025,Analyst,Operations,10055,"Java, Excel, Python, Cloud",Bachelor's,Google Cloud Certified,2,4,Architect
E1026,Analyst,Sales,4022,"Java, SQL, Project Management, Cloud",PhD,Google Cloud Certified,2,4,Senior Manager
